date,bucket,count
2012-07-20,Unit_7,229
2012-07-20,Unit_6,229
2012-07-20,Unit_5,267
2012-07-20,Unit_9,170
2012-07-20,Unit_8,237
2012-07-20,Unit_10,174
2012-07-20,Unit_4,207
2012-07-20,Unit_11,147
2012-07-20,Unit_12,169
2012-07-20,Unit_13,145
2012-07-20,Unit_3,130
2012-07-20,Unit_14,104
2012-07-20,Unit_15,91
2012-07-20,Unit_17,93
2012-07-20,Unit_2,91
2012-07-20,Unit_16,77
2012-07-20,Unit_1,114
2012-07-21,Unit_7,313
2012-07-21,Unit_6,299
2012-07-21,Unit_5,310
2012-07-21,Unit_9,266
2012-07-21,Unit_8,226
2012-07-21,Unit_10,196
2012-07-21,Unit_4,268
2012-07-21,Unit_11,178
2012-07-21,Unit_12,159
2012-07-21,Unit_13,114
2012-07-21,Unit_3,213
2012-07-21,Unit_14,128
2012-07-21,Unit_15,90
2012-07-21,Unit_2,128
2012-07-21,Unit_1,120
2012-07-22,Unit_7,280
2012-07-22,Unit_6,288
2012-07-22,Unit_5,296
2012-07-22,Unit_9,234
2012-07-22,Unit_8,285
2012-07-22,Unit_10,228
2012-07-22,Unit_4,229
2012-07-22,Unit_11,205
2012-07-22,Unit_12,166
2012-07-22,Unit_13,140
2012-07-22,Unit_3,197
2012-07-22,Unit_14,135
2012-07-22,Unit_15,157
2012-07-22,Unit_17,112
2012-07-22,Unit_2,120
2012-07-22,Unit_16,96
2012-07-22,Unit_18,90
2012-07-22,Unit_19,110
2012-07-22,Unit_20,99
2012-07-23,Unit_7,308
2012-07-23,Unit_6,296
2012-07-23,Unit_5,270
2012-07-23,Unit_9,276
2012-07-23,Unit_8,267
2012-07-23,Unit_10,248
2012-07-23,Unit_4,258
2012-07-23,Unit_11,265
2012-07-23,Unit_12,217
2012-07-23,Unit_13,184
2012-07-23,Unit_3,171
2012-07-23,Unit_14,188
2012-07-23,Unit_15,123
2012-07-23,Unit_17,139
2012-07-23,Unit_2,129
2012-07-23,Unit_16,143
2012-07-23,Unit_1,71
2012-07-23,Unit_18,128
2012-07-23,Unit_19,96
2012-07-23,Unit_20,54
2012-07-23,Unit_21,72
2012-07-24,Unit_7,293
2012-07-24,Unit_6,304
2012-07-24,Unit_5,260
2012-07-24,Unit_9,233
2012-07-24,Unit_8,231
2012-07-24,Unit_10,256
2012-07-24,Unit_4,236
2012-07-24,Unit_11,203
2012-07-24,Unit_12,183
2012-07-24,Unit_13,147
2012-07-24,Unit_3,172
2012-07-24,Unit_14,95
2012-07-24,Unit_15,112
2012-07-24,Unit_17,95
2012-07-24,Unit_2,116
2012-07-24,Unit_16,133
2012-07-24,Unit_1,87
2012-07-25,Unit_7,285
2012-07-25,Unit_6,208
2012-07-25,Unit_5,205
2012-07-25,Unit_9,229
2012-07-25,Unit_8,213
2012-07-25,Unit_10,207
2012-07-25,Unit_4,215
2012-07-25,Unit_11,155
2012-07-25,Unit_12,175
2012-07-25,Unit_13,151
2012-07-25,Unit_3,169
2012-07-25,Unit_14,160
2012-07-25,Unit_15,119
2012-07-25,Unit_17,97
2012-07-25,Unit_2,146
2012-07-25,Unit_16,86
2012-07-25,Unit_1,57
2012-07-26,Unit_7,88
2012-07-26,Unit_6,83
2012-07-26,Unit_9,147
2012-07-26,Unit_8,75
2012-07-26,Unit_10,131
2012-07-26,Unit_11,128
2012-07-26,Unit_12,131
2012-07-26,Unit_13,163
2012-07-26,Unit_14,123
2012-07-26,Unit_15,147
2012-07-26,Unit_17,161
2012-07-26,Unit_16,120
2012-07-26,Unit_18,157
2012-07-26,Unit_19,166
2012-07-26,Unit_20,114
2012-07-26,Unit_21,84
2012-07-26,Unit_22,100
2012-07-26,Unit_23,91
2012-07-26,Unit_24,89
